formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     random24  random25  topoY     
ErRh      1.24      2.28      68        45        6.1077    7.4589    0.312     1.14289   1.75      1.35      3         9         3.63      3.63      1.2       1.2       2         0         0         12        1         0         8         0         0.679946  0.178594  1         
HoTl      1.23      1.62      67        81        6.0215    6.10829   0.338     0.32005   1.75      1.9       3         3         3.65      3.65      1.2       1.2       2         0         0         11        2         1         10        14        0.829612  0.613201  0         
ErIn      1.24      1.78      68        49        6.1077    5.78636   0.312     0.38393   1.75      1.55      3         3         3.63      3.63      1.2       1.2       2         0         0         12        2         1         10        0         0.090756  0.429257  0         
TmAu      1.25      2.54      69        79        6.18431   9.22555   1.02922   2.30861   1.75      1.35      3         11        3.60      3.60      1.2       1.2       2         0         0         13        1         0         10        14        0.946488  0.337565  0         
AgI       1.93      2.66      47        53        7.57623   10.45126  1.30447   3.05905   1.6       1.4       11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         10        0         0.951109  0.158657  0         
HoIr      1.23      2.2       67        77        6.0215    8.96702   0.338     1.56436   1.75      1.35      3         9         3.65      3.65      1.2       1.2       2         0         0         11        2         0         7         14        0.096685  0.792032  1         
MgO       1.31      3.44      12        8         7.64624   13.61806  -0.42     1.46111   1.5       0.6       2         6         2.03      2.03      1.31      1.31      2         0         0         0         2         4         0         0         0.523974  0.365604  0         
TbRh      1.1       2.28      65        45        5.8638    7.4589    0.13132   1.14289   1.75      1.35      3         9         3.89      3.89      1.2       1.2       2         0         0         9         1         0         8         0         0.269921  0.129194  1         
TmCu      1.25      1.9       69        29        6.18431   7.72638   1.02922   1.23578   1.75      1.35      3         11        3.60      3.60      1.2       1.2       2         0         0         13        1         0         10        0         0.448999  0.64922   0         
PrIn      1.13      1.78      59        49        5.4702    5.78636   0.10923   0.38393   1.85      1.55      3         3         4.48      4.48      1.1       1.1       2         0         0         3         2         1         10        0         0.365636  0.944965  0         
CsF       0.79      3.98      55        9         3.89391   17.42282  0.47163   3.40119   2.6       0.5       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         0         0         0.67215   0.948682  0         
HoN       1.23      3.04      67        7         6.0215    14.53413  0.338     -0.07     1.75      0.65      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         0         0         0.250316  0.895839  1         
RbI       0.82      2.66      37        53        4.17713   10.45126  0.48592   3.05905   2.35      1.4       1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         10        0         0.499271  0.448522  0         
TlBi      1.62      2.02      81        83        6.10829   7.28552   0.32005   0.94236   1.9       1.6       3         5         2.235     2.235     1.69      1.69      2         1         10        14        2         3         10        14        0.345647  0.842338  0         
SmIn      1.17      1.78      62        49        5.64371   5.78636   0.162     0.38393   1.85      1.55      3         3         4.14      4.14      1.2       1.2       2         0         0         6         2         1         10        0         0.582863  0.207314  0         
ErN       1.24      3.04      68        7         6.1077    14.53413  0.312     -0.07     1.75      0.65      3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         0         0         0.988289  0.130585  1         
TmIn      1.25      1.78      69        49        6.18431   5.78636   1.02922   0.38393   1.75      1.55      3         3         3.60      3.60      1.2       1.2       2         0         0         13        2         1         10        0         0.245093  0.793637  0         
HoIn      1.23      1.78      67        49        6.0215    5.78636   0.338     0.38393   1.75      1.55      3         3         3.65      3.65      1.2       1.2       2         0         0         11        2         1         10        0         0.770147  0.931234  0         
TcB       1.9       2.04      43        5         7.11938   8.29802   0.552     0.27972   1.35      0.85      7         3         2.65      2.65      2.18      2.18      2         0         5         0         2         1         0         0         0.05774   0.152008  0         
CeZn      1.12      1.65      58        30        5.5386    9.3942    0.572     -0.62     1.85      1.35      3         12        4.50      4.50      1.1       1.1       2         0         1         1         2         0         10        0         0.669198  0.683166  0         
MgPd      1.31      2.2       12        46        7.64624   8.33684   -0.42     0.56214   1.5       1.4       2         10        2.03      2.03      1.31      1.31      2         0         0         0         0         0         10        0         0.395079  0.322543  1         
BaCd      0.89      1.69      56        48        5.21166   8.99382   0.14463   -0.72     2.15      1.55      2         12        3.402     3.402     1.08      1.08      2         0         0         0         2         0         10        0         0.455527  0.675686  0         
AgCl      1.93      3.16      47        17        7.57623   12.96763  1.30447   3.61273   1.6       1.0       11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         0         0         0.476639  0.198862  0         
HoP       1.23      2.19      67        15        6.0215    10.48669  0.338     0.74661   1.75      1.0       3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         0         0         0.723157  0.854774  0         
CaNi      1.0       1.91      20        28        6.11316   7.63988   0.02455   1.15716   1.8       1.35      2         10        3.00      3.00      1.17      1.17      2         0         0         0         2         0         8         0         0.424629  0.706739  1         
NdN       1.14      3.04      60        7         5.525     14.53413  0.09749   -0.07     1.85      0.65      3         5         3.99      3.99      1.2       1.2       2         0         0         4         2         3         0         0         0.874002  0.434382  1         
IrN       2.2       3.04      77        7         8.96702   14.53413  1.56436   -0.07     1.35      0.65      9         5         2.628     2.628     1.87      1.87      2         0         7         14        2         3         0         0         0.704731  0.619724  0         
ZrC       1.33      2.55      40        6         6.63413   11.26029  0.43329   1.26211   1.55      0.7       4         4         2.825     2.825     1.70      1.70      2         0         2         0         2         2         0         0         0.198596  0.947913  0         
InAg      1.78      1.93      49        47        5.78636   7.57623   0.38393   1.30447   1.55      1.6       3         11        2.05      2.05      1.63      1.63      2         1         10        0         1         0         10        0         0.067788  0.661857  1         
