formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     random36  random37  topoY     
CaSiPt    1.0       1.9       2.28      20        14        78        6.11316   8.15168   8.95883   0.02455   1.38952   2.12511   1.8       1.1       1.35      2         4         10        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         2         0         0         1         0         9         14        0.595726  0.153093  1         
HoAsPd    1.23      2.18      2.2       67        33        46        6.0215    9.78855   8.33684   0.338     0.80482   0.56214   1.75      1.15      1.4       3         5         10        3.65      3.65      3.65      1.2       1.2       1.2       2         0         0         11        2         3         10        0         0         0         10        0         0.335589  0.389385  1         
ErPPd     1.24      2.19      2.2       68        15        46        6.1077    10.48669  8.33684   0.312     0.74661   0.56214   1.75      1.0       1.4       3         5         10        3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         3         0         0         0         0         10        0         0.825315  0.311242  1         
HfCoAs    1.3       1.88      2.18      72        27        33        6.82507   7.88101   9.78855   0.17807   0.66226   0.80482   1.55      1.35      1.15      4         9         5         2.91      2.91      2.91      1.73      1.73      1.73      2         0         2         14        2         0         7         0         2         3         10        0         0.309877  0.528991  1         
NaLiTe    0.93      0.98      2.1       11        3         52        5.13908   5.39171   9.00981   0.54793   0.61805   1.97088   1.8       1.45      1.4       1         1         6         2.65      2.65      2.65      0.89      0.89      0.89      1         0         0         0         1         0         0         0         2         4         10        0         0.756099  0.350124  0         
CoBMo     1.88      2.04      2.16      27        5         42        7.88101   8.29802   7.09243   0.66226   0.27972   0.74733   1.35      0.85      1.45      9         3         6         2.02      2.02      2.02      1.72      1.72      1.72      2         0         7         0         2         1         0         0         1         0         5         0         0.932572  0.596315  1         
Y2Au      1.22      1.22      2.54      39        39        79        6.21726   6.21726   9.22555   0.30712   0.30712   2.30861   1.8       1.8       1.35      3         3         11        2.94      2.94      2.94      1.41      1.41      1.41      2         0         1         0         2         0         1         0         1         0         10        14        0.083315  0.056048  0         
TbSiPt    1.1       1.9       2.28      65        14        78        5.8638    8.15168   8.95883   0.13132   1.38952   2.12511   1.75      1.1       1.35      3         4         10        3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         2         0         0         1         0         9         14        0.287492  0.000105  0         
LuNiSn    1.27      1.91      1.96      71        28        50        5.42587   7.63988   7.34392   0.23887   1.15716   1.11207   1.75      1.35      1.45      3         10        4         3.37      3.37      3.37      1.2       1.2       1.2       2         0         1         14        2         0         8         0         2         2         10        0         0.255254  0.504447  0         
SnRh2     1.96      2.28      2.28      50        45        45        7.34392   7.4589    7.4589    1.11207   1.14289   1.14289   1.45      1.35      1.35      4         9         9         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         1         0         8         0         1         0         8         0         0.72601   0.63977   1         
TlCdSb    1.62      1.69      2.05      81        48        51        6.10829   8.99382   8.60839   0.32005   -0.72     1.0474    1.9       1.55      1.45      3         12        5         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         0         10        0         2         3         10        0         0.570851  0.681541  0         
KNaTe     0.82      0.93      2.1       19        11        52        4.34066   5.13908   9.00981   0.50146   0.54793   1.97088   2.2       1.8       1.4       1         1         6         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         1         0         0         0         2         4         10        0         0.783425  0.162608  0         
SrCaSi    0.95      1.0       1.9       38        20        14        5.69487   6.11316   8.15168   0.05207   0.02455   1.38952   2.0       1.8       1.1       2         2         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         0         0         2         2         0         0         0.496988  0.067309  0         
Sr2Sn     0.95      0.95      1.96      38        38        50        5.69487   5.69487   7.34392   0.05207   0.05207   1.11207   2.0       2.0       1.45      2         2         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         0         0         2         2         10        0         0.627775  0.387607  0         
HoCoSn    1.23      1.88      1.96      67        27        50        6.0215    7.88101   7.34392   0.338     0.66226   1.11207   1.75      1.35      1.45      3         9         4         3.65      3.65      3.65      1.2       1.2       1.2       2         0         0         11        2         0         7         0         2         2         10        0         0.250299  0.523608  0         
ScNiSn    1.36      1.91      1.96      21        28        50        6.56149   7.63988   7.34392   0.1882    1.15716   1.11207   1.6       1.35      1.45      3         10        4         2.75      2.75      2.75      1.50      1.50      1.50      2         0         1         0         2         0         8         0         2         2         10        0         0.190348  0.216194  0         
YbSnPd    1.1       1.96      2.2       70        50        46        6.25416   7.34392   8.33684   -0.02     1.11207   0.56214   1.75      1.45      1.4       3         4         10        3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         2         10        0         0         0         10        0         0.336567  0.711593  1         
Ba2Si     0.89      0.89      1.9       56        56        14        5.21166   5.21166   8.15168   0.14463   0.14463   1.38952   2.15      2.15      1.1       2         2         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         0         0         2         2         0         0         0.646225  0.737067  1         
AlPd2     1.61      2.2       2.2       13        46        46        5.98577   8.33684   8.33684   0.43284   0.56214   0.56214   1.25      1.4       1.4       3         10        10        1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         0         0         10        0         0         0         10        0         0.699502  0.802247  0         
LaSnPt    1.1       1.96      2.28      57        50        78        5.5769    7.34392   8.95883   0.55755   1.11207   2.12511   1.95      1.45      1.35      3         4         10        3.08      3.08      3.08      1.35      1.35      1.35      2         0         1         0         2         2         10        0         1         0         9         14        0.86572   0.634114  0         
CaMgPb    1.0       1.31      2.33      20        12        82        6.11316   7.64624   7.41668   0.02455   -0.42     0.35672   1.8       1.5       1.8       2         2         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         0         0         2         2         10        14        0.986227  0.448765  0         
YbH2      1.1       2.2       2.2       70        1         1         6.25416   13.59843  13.59843  -0.02     0.7546    0.7546    1.75      0.25      0.25      3         1         1         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         0         0         1         0         0         0         0.984462  0.723126  0         
TbNiGe    1.1       1.91      2.01      65        28        32        5.8638    7.63988   7.89944   0.13132   1.15716   1.23268   1.75      1.35      1.25      3         10        4         3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         0         8         0         2         2         10        0         0.627278  0.410166  0         
YbMnSi    1.1       1.55      1.9       70        25        14        6.25416   7.43404   8.15168   -0.02     -0.52     1.38952   1.75      1.4       1.1       3         7         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         5         0         2         2         0         0         0.913253  0.16904   0         
SnBr2     1.96      2.96      2.96      50        35        35        7.34392   11.81381  11.81381  1.11207   3.36359   3.36359   1.45      1.15      1.15      4         7         7         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         5         10        0         2         5         10        0         0.411091  0.036979  0         
DyGeRu    1.22      2.01      2.2       66        32        44        5.93905   7.89944   7.3605    0.352     1.23268   1.04638   1.75      1.25      1.3       3         4         8         3.67      3.67      3.67      1.15      1.15      1.15      2         0         0         10        2         2         10        0         1         0         7         0         0.0457    0.929921  0         
PrSnPt    1.13      1.96      2.28      59        50        78        5.4702    7.34392   8.95883   0.10923   1.11207   2.12511   1.85      1.45      1.35      3         4         10        4.48      4.48      4.48      1.1       1.1       1.1       2         0         0         3         2         2         10        0         1         0         9         14        0.945426  0.544793  0         
ErGeRh    1.24      2.01      2.28      68        32        45        6.1077    7.89944   7.4589    0.312     1.23268   1.14289   1.75      1.25      1.35      3         4         9         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         2         10        0         1         0         8         0         0.817125  0.410621  0         
ZrMnP     1.33      1.55      2.19      40        25        15        6.63413   7.43404   10.48669  0.43329   -0.52     0.74661   1.55      1.4       1.0       4         7         5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         5         0         2         3         0         0         0.643805  0.389484  1         
CaGaPt    1.0       1.81      2.28      20        31        78        6.11316   5.9993    8.95883   0.02455   0.3012    2.12511   1.8       1.3       1.35      2         3         10        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         10        0         1         0         9         14        0.459267  0.717815  0         
LiCN      0.98      2.55      3.04      3         6         7         5.39171   11.26029  14.53413  0.61805   1.26211   -0.07     1.45      0.7       0.65      1         4         5         1.61      1.61      1.61      0.90      0.90      0.90      1         0         0         0         2         2         0         0         2         3         0         0         0.841201  0.029188  0         
KRbS      0.82      0.82      2.58      19        37        16        4.34066   4.17713   10.36001  0.50146   0.48592   2.0771    2.2       2.35      1.0       1         1         6         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         1         0         0         0         2         4         0         0         0.39396   0.400872  0         
TiCuSi    1.54      1.9       1.9       22        29        14        6.82812   7.72638   8.15168   0.07555   1.23578   1.38952   1.4       1.35      1.1       4         11        4         2.58      2.58      2.58      1.86      1.86      1.86      2         0         2         0         1         0         10        0         2         2         0         0         0.41505   0.535552  0         
SmGePt    1.17      2.01      2.28      62        32        78        5.64371   7.89944   8.95883   0.162     1.23268   2.12511   1.85      1.25      1.35      3         4         10        4.14      4.14      4.14      1.2       1.2       1.2       2         0         0         6         2         2         10        0         1         0         9         14        0.247209  0.564844  0         
MnSiIr    1.55      1.9       2.2       25        14        77        7.43404   8.15168   8.96702   -0.52     1.38952   1.56436   1.4       1.1       1.35      7         4         9         2.22      2.22      2.22      2.04      2.04      2.04      2         0         5         0         2         2         0         0         2         0         7         14        0.534444  0.088305  1         
MnNbP     1.55      1.6       2.19      25        41        15        7.43404   6.75885   10.48669  -0.52     0.91741   0.74661   1.4       1.45      1.0       7         5         5         2.22      2.22      2.22      2.04      2.04      2.04      2         0         5         0         1         0         4         0         2         3         0         0         0.863308  0.967282  0         
LiBH      0.98      2.04      2.2       3         5         1         5.39171   8.29802   13.59843  0.61805   0.27972   0.7546    1.45      0.85      0.25      1         3         1         1.61      1.61      1.61      0.90      0.90      0.90      1         0         0         0         2         1         0         0         1         0         0         0         0.410246  0.337496  0         
NdSnPt    1.14      1.96      2.28      60        50        78        5.525     7.34392   8.95883   0.09749   1.11207   2.12511   1.85      1.45      1.35      3         4         10        3.99      3.99      3.99      1.2       1.2       1.2       2         0         0         4         2         2         10        0         1         0         9         14        0.365591  0.484512  0         
MgH2      1.31      2.2       2.2       12        1         1         7.64624   13.59843  13.59843  -0.42     0.7546    0.7546    1.5       0.25      0.25      2         1         1         2.03      2.03      2.03      1.31      1.31      1.31      2         0         0         0         1         0         0         0         1         0         0         0         0.353609  0.760715  0         
CaH2      1.0       2.2       2.2       20        1         1         6.11316   13.59843  13.59843  0.02455   0.7546    0.7546    1.8       0.25      0.25      2         1         1         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         0         0         1         0         0         0         0.029356  0.744462  0         
SrH2      0.95      2.2       2.2       38        1         1         5.69487   13.59843  13.59843  0.05207   0.7546    0.7546    2.0       0.25      0.25      2         1         1         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         0         0         1         0         0         0         0.793615  0.483379  0         
CaInAu    1.0       1.78      2.54      20        49        79        6.11316   5.78636   9.22555   0.02455   0.38393   2.30861   1.8       1.55      1.35      2         3         11        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         10        0         1         0         10        14        0.497002  0.506611  1         
HoMnSi    1.23      1.55      1.9       67        25        14        6.0215    7.43404   8.15168   0.338     -0.52     1.38952   1.75      1.4       1.1       3         7         4         3.65      3.65      3.65      1.2       1.2       1.2       2         0         0         11        2         0         5         0         2         2         0         0         0.484575  0.540313  1         
TbSiIr    1.1       1.9       2.2       65        14        77        5.8638    8.15168   8.96702   0.13132   1.38952   1.56436   1.75      1.1       1.35      3         4         9         3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         2         0         0         2         0         7         14        0.320428  0.237617  0         
PRu2      2.19      2.2       2.2       15        44        44        10.48669  7.3605    7.3605    0.74661   1.04638   1.04638   1.0       1.3       1.3       5         8         8         1.24      1.24      1.24      2.32      2.32      2.32      2         3         0         0         1         0         7         0         1         0         7         0         0.085741  0.736038  0         
SiRh2     1.9       2.28      2.28      14        45        45        8.15168   7.4589    7.4589    1.38952   1.14289   1.14289   1.1       1.35      1.35      4         9         9         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         1         0         8         0         1         0         8         0         0.386711  0.86769   1         
SnClF     1.96      3.16      3.98      50        17        9         7.34392   12.96763  17.42282  1.11207   3.61273   3.40119   1.45      1.0       0.5       4         7         7         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         5         0         0         2         5         0         0         0.847899  0.759376  0         
ScSiRh    1.36      1.9       2.28      21        14        45        6.56149   8.15168   7.4589    0.1882    1.38952   1.14289   1.6       1.1       1.35      3         4         9         2.75      2.75      2.75      1.50      1.50      1.50      2         0         1         0         2         2         0         0         1         0         8         0         0.217285  0.596436  0         
HoGeRu    1.23      2.01      2.2       67        32        44        6.0215    7.89944   7.3605    0.338     1.23268   1.04638   1.75      1.25      1.3       3         4         8         3.65      3.65      3.65      1.2       1.2       1.2       2         0         0         11        2         2         10        0         1         0         7         0         0.869482  0.009311  0         
YbGeRh    1.1       2.01      2.28      70        32        45        6.25416   7.89944   7.4589    -0.02     1.23268   1.14289   1.75      1.25      1.35      3         4         9         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         2         10        0         1         0         8         0         0.357167  0.627547  0         
HoSiIr    1.23      1.9       2.2       67        14        77        6.0215    8.15168   8.96702   0.338     1.38952   1.56436   1.75      1.1       1.35      3         4         9         3.65      3.65      3.65      1.2       1.2       1.2       2         0         0         11        2         2         0         0         2         0         7         14        0.00361   0.774647  1         
ZrMnSi    1.33      1.55      1.9       40        25        14        6.63413   7.43404   8.15168   0.43329   -0.52     1.38952   1.55      1.4       1.1       4         7         4         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         5         0         2         2         0         0         0.209139  0.443218  0         
DyCoSn    1.22      1.88      1.96      66        27        50        5.93905   7.88101   7.34392   0.352     0.66226   1.11207   1.75      1.35      1.45      3         9         4         3.67      3.67      3.67      1.15      1.15      1.15      2         0         0         10        2         0         7         0         2         2         10        0         0.668651  0.119691  0         
Ca2In     1.0       1.0       1.78      20        20        49        6.11316   6.11316   5.78636   0.02455   0.02455   0.38393   1.8       1.8       1.55      2         2         3         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         0         0         2         1         10        0         0.307779  0.686734  0         
ErNiGe    1.24      1.91      2.01      68        28        32        6.1077    7.63988   7.89944   0.312     1.15716   1.23268   1.75      1.35      1.25      3         10        4         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         0         8         0         2         2         10        0         0.680306  0.671     0         
TbSnPt    1.1       1.96      2.28      65        50        78        5.8638    7.34392   8.95883   0.13132   1.11207   2.12511   1.75      1.45      1.35      3         4         10        3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         2         10        0         1         0         9         14        0.355223  0.307677  0         
Ca2Pb     1.0       1.0       2.33      20        20        82        6.11316   6.11316   7.41668   0.02455   0.02455   0.35672   1.8       1.8       1.8       2         2         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         0         0         2         2         10        14        0.885583  0.208962  0         
ZrAs2     1.33      2.18      2.18      40        33        33        6.63413   9.78855   9.78855   0.43329   0.80482   0.80482   1.55      1.15      1.15      4         5         5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         3         10        0         2         3         10        0         0.706263  0.082315  1         
ErSiRu    1.24      1.9       2.2       68        14        44        6.1077    8.15168   7.3605    0.312     1.38952   1.04638   1.75      1.1       1.3       3         4         8         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         2         0         0         1         0         7         0         0.528815  0.895198  0         
HfSiMo    1.3       1.9       2.16      72        14        42        6.82507   8.15168   7.09243   0.17807   1.38952   0.74733   1.55      1.1       1.45      4         4         6         2.91      2.91      2.91      1.73      1.73      1.73      2         0         2         14        2         2         0         0         1         0         5         0         0.750263  0.143532  0         
CoMoP     1.88      2.16      2.19      27        42        15        7.88101   7.09243   10.48669  0.66226   0.74733   0.74661   1.35      1.45      1.0       9         6         5         2.02      2.02      2.02      1.72      1.72      1.72      2         0         7         0         1         0         5         0         2         3         0         0         0.428978  0.542053  1         
ZrNiSb    1.33      1.91      2.05      40        28        51        6.63413   7.63988   8.60839   0.43329   1.15716   1.0474    1.55      1.35      1.45      4         10        5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         8         0         2         3         10        0         0.02924   0.953523  0         
ZrPRu     1.33      2.19      2.2       40        15        44        6.63413   10.48669  7.3605    0.43329   0.74661   1.04638   1.55      1.0       1.3       4         5         8         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         3         0         0         1         0         7         0         0.963364  0.074853  0         
YSnPt     1.22      1.96      2.28      39        50        78        6.21726   7.34392   8.95883   0.30712   1.11207   2.12511   1.8       1.45      1.35      3         4         10        2.94      2.94      2.94      1.41      1.41      1.41      2         0         1         0         2         2         10        0         1         0         9         14        0.284585  0.399771  0         
ZrVP      1.33      1.63      2.19      40        23        15        6.63413   6.74619   10.48669  0.43329   0.52766   0.74661   1.55      1.35      1.0       4         5         5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         3         0         2         3         0         0         0.757569  0.934667  0         
ErSiIr    1.24      1.9       2.2       68        14        77        6.1077    8.15168   8.96702   0.312     1.38952   1.56436   1.75      1.1       1.35      3         4         9         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         2         0         0         2         0         7         14        0.879797  0.886146  1         
TbGePt    1.1       2.01      2.28      65        32        78        5.8638    7.89944   8.95883   0.13132   1.23268   2.12511   1.75      1.25      1.35      3         4         10        3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         2         10        0         1         0         9         14        0.330049  0.452645  0         
SmCoGe    1.17      1.88      2.01      62        27        32        5.64371   7.88101   7.89944   0.162     0.66226   1.23268   1.85      1.35      1.25      3         9         4         4.14      4.14      4.14      1.2       1.2       1.2       2         0         0         6         2         0         7         0         2         2         10        0         0.481339  0.869427  0         
TlAgSe    1.62      1.93      2.55      81        47        34        6.10829   7.57623   9.75239   0.32005   1.30447   2.0206    1.9       1.6       1.15      3         11        6         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        1         0         10        0         2         4         10        0         0.55651   0.090594  0         
LuSiIr    1.27      1.9       2.2       71        14        77        5.42587   8.15168   8.96702   0.23887   1.38952   1.56436   1.75      1.1       1.35      3         4         9         3.37      3.37      3.37      1.2       1.2       1.2       2         0         1         14        2         2         0         0         2         0         7         14        0.796917  0.619544  1         
LiCaN     0.98      1.0       3.04      3         20        7         5.39171   6.11316   14.53413  0.61805   0.02455   -0.07     1.45      1.8       0.65      1         2         5         1.61      1.61      1.61      0.90      0.90      0.90      1         0         0         0         2         0         0         0         2         3         0         0         0.097176  0.692651  0         
GeRh2     2.01      2.28      2.28      32        45        45        7.89944   7.4589    7.4589    1.23268   1.14289   1.14289   1.25      1.35      1.35      4         9         9         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         1         0         8         0         1         0         8         0         0.621229  0.216477  1         
Er2Pt     1.24      1.24      2.28      68        68        78        6.1077    6.1077    8.95883   0.312     0.312     2.12511   1.75      1.75      1.35      3         3         10        3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         0         0         12        1         0         9         14        0.521905  0.548056  1         
PrGaCo    1.13      1.81      1.88      59        31        27        5.4702    5.9993    7.88101   0.10923   0.3012    0.66226   1.85      1.3       1.35      3         3         9         4.48      4.48      4.48      1.1       1.1       1.1       2         0         0         3         2         1         10        0         2         0         7         0         0.560282  0.628428  0         
ZrO2      1.33      3.44      3.44      40        8         8         6.63413   13.61806  13.61806  0.43329   1.46111   1.46111   1.55      0.6       0.6       4         6         6         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         4         0         0         2         4         0         0         0.496109  0.131211  0         
ErNiSn    1.24      1.91      1.96      68        28        50        6.1077    7.63988   7.34392   0.312     1.15716   1.11207   1.75      1.35      1.45      3         10        4         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         0         8         0         2         2         10        0         0.74543   0.679662  0         
CaInPd    1.0       1.78      2.2       20        49        46        6.11316   5.78636   8.33684   0.02455   0.38393   0.56214   1.8       1.55      1.4       2         3         10        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         10        0         0         0         10        0         0.428511  0.272609  0         
BiSeCl    2.02      2.55      3.16      83        34        17        7.28552   9.75239   12.96763  0.94236   2.0206    3.61273   1.6       1.15      1.0       5         6         7         1.997     1.997     1.997     2.14      2.14      2.14      2         3         10        14        2         4         10        0         2         5         0         0         0.850778  0.979065  0         
SrMgSn    0.95      1.31      1.96      38        12        50        5.69487   7.64624   7.34392   0.05207   -0.42     1.11207   2.0       1.5       1.45      2         2         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         0         0         2         2         10        0         0.141868  0.442146  0         
SrBr2     0.95      2.96      2.96      38        35        35        5.69487   11.81381  11.81381  0.05207   3.36359   3.36359   2.0       1.15      1.15      2         7         7         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         5         10        0         2         5         10        0         0.670246  0.379565  0         
NiTePd    1.91      2.1       2.2       28        52        46        7.63988   9.00981   8.33684   1.15716   1.97088   0.56214   1.35      1.4       1.4       10        6         10        2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         4         10        0         0         0         10        0         0.732128  0.229145  1         
NdAlPt    1.14      1.61      2.28      60        13        78        5.525     5.98577   8.95883   0.09749   0.43284   2.12511   1.85      1.25      1.35      3         3         10        3.99      3.99      3.99      1.2       1.2       1.2       2         0         0         4         2         1         0         0         1         0         9         14        0.032173  0.555491  1         
CaCl2     1.0       3.16      3.16      20        17        17        6.11316   12.96763  12.96763  0.02455   3.61273   3.61273   1.8       1.0       1.0       2         7         7         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         5         0         0         2         5         0         0         0.700512  0.860201  0         
SrI2      0.95      2.66      2.66      38        53        53        5.69487   10.45126  10.45126  0.05207   3.05905   3.05905   2.0       1.4       1.4       2         7         7         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         5         10        0         2         5         10        0         0.601107  0.74644   0         
AlAu2     1.61      2.54      2.54      13        79        79        5.98577   9.22555   9.22555   0.43284   2.30861   2.30861   1.25      1.35      1.35      3         11        11        1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         1         0         10        14        1         0         10        14        0.704126  0.325635  0         
CaAlAu    1.0       1.61      2.54      20        13        79        6.11316   5.98577   9.22555   0.02455   0.43284   2.30861   1.8       1.25      1.35      2         3         11        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         0         0         1         0         10        14        0.367008  0.608853  1         
SmAsS     1.17      2.18      2.58      62        33        16        5.64371   9.78855   10.36001  0.162     0.80482   2.0771    1.85      1.15      1.0       3         5         6         4.14      4.14      4.14      1.2       1.2       1.2       2         0         0         6         2         3         10        0         2         4         0         0         0.079539  0.275363  1         
PbCl2     2.33      3.16      3.16      82        17        17        7.41668   12.96763  12.96763  0.35672   3.61273   3.61273   1.8       1.0       1.0       4         7         7         2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         5         0         0         2         5         0         0         0.454297  0.849615  0         
CoBW      1.88      2.04      2.36      27        5         74        7.88101   8.29802   7.86403   0.66226   0.27972   0.81627   1.35      0.85      1.35      9         3         6         2.02      2.02      2.02      1.72      1.72      1.72      2         0         7         0         2         1         0         0         2         0         4         14        0.747248  0.40346   1         
PrAlPt    1.13      1.61      2.28      59        13        78        5.4702    5.98577   8.95883   0.10923   0.43284   2.12511   1.85      1.25      1.35      3         3         10        4.48      4.48      4.48      1.1       1.1       1.1       2         0         0         3         2         1         0         0         1         0         9         14        0.762788  0.085957  1         
LaTeAs    1.1       2.1       2.18      57        52        33        5.5769    9.00981   9.78855   0.55755   1.97088   0.80482   1.95      1.4       1.15      3         6         5         3.08      3.08      3.08      1.35      1.35      1.35      2         0         1         0         2         4         10        0         2         3         10        0         0.433695  0.835661  0         
