formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
NaTaO3    0.93      1.5       3.44      11        73        8         5.13908   7.54957   13.61806  0.54793   0.32312   1.46111   1.8       1.45      0.6       1         5         6         2.65      2.65      2.65      0.89      0.89      0.89      1         0         0         0         2         0         3         14        2         4         0         0         0         
KZnF3     0.82      1.65      3.98      19        30        9         4.34066   9.3942    17.42282  0.50146   -0.62     3.40119   2.2       1.35      0.5       1         12        7         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         2         0         10        0         2         5         0         0         0         
ZrBRh3    1.33      2.04      2.28      40        5         45        6.63413   8.29802   7.4589    0.43329   0.27972   1.14289   1.55      0.85      1.35      4         3         9         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         1         0         0         1         0         8         0         0         
CsHgF3    0.79      2.0       3.98      55        80        9         3.89391   10.4375   17.42282  0.47163   -0.52     3.40119   2.6       1.5       0.5       1         12        7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         10        14        2         5         0         0         0         
CsYbCl3   0.79      1.1       3.16      55        70        17        3.89391   6.25416   12.96763  0.47163   -0.02     3.61273   2.6       1.75      1.0       1         3         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         0         14        2         5         0         0         0         
CaTiO3    1.0       1.54      3.44      20        22        8         6.11316   6.82812   13.61806  0.02455   0.07555   1.46111   1.8       1.4       0.6       2         4         6         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         2         0         2         4         0         0         0         
YBPd3     1.22      2.04      2.2       39        5         46        6.21726   8.29802   8.33684   0.30712   0.27972   0.56214   1.8       0.85      1.4       3         3         10        2.94      2.94      2.94      1.41      1.41      1.41      2         0         1         0         2         1         0         0         0         0         10        0         0         
ScBPt3    1.36      2.04      2.28      21        5         78        6.56149   8.29802   8.95883   0.1882    0.27972   2.12511   1.6       0.85      1.35      3         3         10        2.75      2.75      2.75      1.50      1.50      1.50      2         0         1         0         2         1         0         0         1         0         9         14        0         
ErBPd3    1.24      2.04      2.2       68        5         46        6.1077    8.29802   8.33684   0.312     0.27972   0.56214   1.75      0.85      1.4       3         3         10        3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         1         0         0         0         0         10        0         0         
Yb3SnO    1.96      3.44      1.1       50        8         70        7.34392   13.61806  6.25416   1.11207   1.46111   -0.02     1.45      0.6       1.75      4         6         3         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         4         0         0         2         0         0         14        1         
Sc3BPb    2.33      2.04      1.36      82        5         21        7.41668   8.29802   6.56149   0.35672   0.27972   0.1882    1.8       0.85      1.6       4         3         3         2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         1         0         0         2         0         1         0         0         
ZnNi3C    1.65      2.55      1.91      30        6         28        9.3942    11.26029  7.63988   -0.62     1.26211   1.15716   1.35      0.7       1.35      12        4         10        1.88      1.88      1.88      1.44      1.44      1.44      2         0         10        0         2         2         0         0         2         0         8         0         0         
Mn3PdN    2.2       3.04      1.55      46        7         25        8.33684   14.53413  7.43404   0.56214   -0.07     -0.52     1.4       0.65      1.4       10        5         7         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         3         0         0         2         0         5         0         0         
BaLiF3    0.89      0.98      3.98      56        3         9         5.21166   5.39171   17.42282  0.14463   0.61805   3.40119   2.15      1.45      0.5       2         1         7         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         0         0         2         5         0         0         0         
Er3GaC    2.55      1.81      1.24      6         31        68        11.26029  5.9993    6.1077    1.26211   0.3012    0.312     0.7       1.3       1.75      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        0         2         0         0         12        0         
Y3GaC     1.81      2.55      1.22      31        6         39        5.9993    11.26029  6.21726   0.3012    1.26211   0.30712   1.3       0.7       1.8       3         4         3         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         2         0         0         2         0         1         0         0         
LuRh3C    1.27      2.55      2.28      71        6         45        5.42587   11.26029  7.4589    0.23887   1.26211   1.14289   1.75      0.7       1.35      3         4         9         3.37      3.37      3.37      1.2       1.2       1.2       2         0         1         14        2         2         0         0         1         0         8         0         1         
PrRh3C    1.13      2.55      2.28      59        6         45        5.4702    11.26029  7.4589    0.10923   1.26211   1.14289   1.85      0.7       1.35      3         4         9         4.48      4.48      4.48      1.1       1.1       1.1       2         0         0         3         2         2         0         0         1         0         8         0         0         
CaPd3C    1.0       2.55      2.2       20        6         46        6.11316   11.26029  8.33684   0.02455   1.26211   0.56214   1.8       0.7       1.4       2         4         10        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         2         0         0         0         0         10        0         0         
DyRh3C    1.22      2.55      2.28      66        6         45        5.93905   11.26029  7.4589    0.352     1.26211   1.14289   1.75      0.7       1.35      3         4         9         3.67      3.67      3.67      1.15      1.15      1.15      2         0         0         10        2         2         0         0         1         0         8         0         1         
Dy3GaC    2.55      1.81      1.22      6         31        66        11.26029  5.9993    5.93905   1.26211   0.3012    0.352     0.7       1.3       1.75      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        0         2         0         0         10        0         
K3IO      2.66      3.44      0.82      53        8         19        10.45126  13.61806  4.34066   3.05905   1.46111   0.50146   1.4       0.6       2.2       7         6         1         1.585     1.585     1.585     2.76      2.76      2.76      2         5         10        0         2         4         0         0         1         0         0         0         0         
Ti3InN    1.78      3.04      1.54      49        7         22        5.78636   14.53413  6.82812   0.38393   -0.07     0.07555   1.55      0.65      1.4       3         5         4         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         3         0         0         2         0         2         0         0         
BaPbO3    0.89      2.33      3.44      56        82        8         5.21166   7.41668   13.61806  0.14463   0.35672   1.46111   2.15      1.8       0.6       2         4         6         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         2         10        14        2         4         0         0         0         
Dy3InC    1.78      2.55      1.22      49        6         66        5.78636   11.26029  5.93905   0.38393   1.26211   0.352     1.55      0.7       1.75      3         4         3         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         2         0         0         2         0         0         10        0         
KCaF3     0.82      1.0       3.98      19        20        9         4.34066   6.11316   17.42282  0.50146   0.02455   3.40119   2.2       1.8       0.5       1         2         7         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         2         0         0         0         2         5         0         0         0         
KTaO3     0.82      1.5       3.44      19        73        8         4.34066   7.54957   13.61806  0.50146   0.32312   1.46111   2.2       1.45      0.6       1         5         6         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         2         0         3         14        2         4         0         0         0         
LaGaO3    1.1       1.81      3.44      57        31        8         5.5769    5.9993    13.61806  0.55755   0.3012    1.46111   1.95      1.3       0.6       3         3         6         3.08      3.08      3.08      1.35      1.35      1.35      2         0         1         0         2         1         10        0         2         4         0         0         0         
Sr3SnO    1.96      3.44      0.95      50        8         38        7.34392   13.61806  5.69487   1.11207   1.46111   0.05207   1.45      0.6       2.0       4         6         2         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         4         0         0         2         0         0         0         1         
Ca3GeO    2.01      3.44      1.0       32        8         20        7.89944   13.61806  6.11316   1.23268   1.46111   0.02455   1.25      0.6       1.8       4         6         2         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         4         0         0         2         0         0         0         1         
RbHgF3    0.82      2.0       3.98      37        80        9         4.17713   10.4375   17.42282  0.48592   -0.52     3.40119   2.35      1.5       0.5       1         12        7         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         0         10        14        2         5         0         0         0         
Pr3InC    2.55      1.78      1.13      6         49        59        11.26029  5.78636   5.4702    1.26211   0.38393   0.10923   0.7       1.55      1.85      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        0         2         0         0         3         1         
RbMgF3    0.82      1.31      3.98      37        12        9         4.17713   7.64624   17.42282  0.48592   -0.42     3.40119   2.35      1.5       0.5       1         2         7         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         0         0         0         2         5         0         0         0         
Ni3GeC    2.01      2.55      1.91      32        6         28        7.89944   11.26029  7.63988   1.23268   1.26211   1.15716   1.25      0.7       1.35      4         4         10        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         2         0         0         2         0         8         0         1         
KPdF3     0.82      2.2       3.98      19        46        9         4.34066   8.33684   17.42282  0.50146   0.56214   3.40119   2.2       1.4       0.5       1         10        7         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         0         0         10        0         2         5         0         0         0         
Ca3AuN    2.54      3.04      1.0       79        7         20        9.22555   14.53413  6.11316   2.30861   -0.07     0.02455   1.35      0.65      1.8       11        5         2         2.66      2.66      2.66      1.19      1.19      1.19      1         0         10        14        2         3         0         0         2         0         0         0         0         
SmRh3C    1.17      2.55      2.28      62        6         45        5.64371   11.26029  7.4589    0.162     1.26211   1.14289   1.85      0.7       1.35      3         4         9         4.14      4.14      4.14      1.2       1.2       1.2       2         0         0         6         2         2         0         0         1         0         8         0         0         
Sm3AlC    1.61      2.55      1.17      13        6         62        5.98577   11.26029  5.64371   0.43284   1.26211   0.162     1.25      0.7       1.85      3         4         3         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         2         0         0         2         0         0         6         0         
Y3TlC     1.62      2.55      1.22      81        6         39        6.10829   11.26029  6.21726   0.32005   1.26211   0.30712   1.9       0.7       1.8       3         4         3         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         2         0         0         2         0         1         0         0         
LuBPd3    1.27      2.04      2.2       71        5         46        5.42587   8.29802   8.33684   0.23887   0.27972   0.56214   1.75      0.85      1.4       3         3         10        3.37      3.37      3.37      1.2       1.2       1.2       2         0         1         14        2         1         0         0         0         0         10        0         0         
Li3BrO    2.96      3.44      0.98      35        8         3         11.81381  13.61806  5.39171   3.36359   1.46111   0.61805   1.15      0.6       1.45      7         6         1         1.20      1.20      1.20      2.83      2.83      2.83      2         5         10        0         2         4         0         0         1         0         0         0         0         
Na3ClO    3.16      3.44      0.93      17        8         11        12.96763  13.61806  5.13908   3.61273   1.46111   0.54793   1.0       0.6       1.8       7         6         1         1.01      1.01      1.01      2.98      2.98      2.98      2         5         0         0         2         4         0         0         1         0         0         0         0         
Rb3BrO    2.96      3.44      0.82      35        8         37        11.81381  13.61806  4.17713   3.36359   1.46111   0.48592   1.15      0.6       2.35      7         6         1         1.20      1.20      1.20      2.83      2.83      2.83      2         5         10        0         2         4         0         0         1         0         0         0         0         
CsSnBr3   0.79      1.96      2.96      55        50        35        3.89391   7.34392   11.81381  0.47163   1.11207   3.36359   2.6       1.45      1.15      1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        0         2         5         10        0         0         
Ca3PbO    2.33      3.44      1.0       82        8         20        7.41668   13.61806  6.11316   0.35672   1.46111   0.02455   1.8       0.6       1.8       4         6         2         2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         4         0         0         2         0         0         0         1         
Fe3SnC    1.96      2.55      1.83      50        6         26        7.34392   11.26029  7.90247   1.11207   1.26211   0.15324   1.45      0.7       1.4       4         4         8         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         2         0         0         2         0         6         0         0         
KMgH3     0.82      1.31      2.2       19        12        1         4.34066   7.64624   13.59843  0.50146   -0.42     0.7546    2.2       1.5       0.25      1         2         1         3.69      3.69      3.69      0.80      0.80      0.80      1         0         0         0         2         0         0         0         1         0         0         0         0         
BaLiH3    0.89      0.98      2.2       56        3         1         5.21166   5.39171   13.59843  0.14463   0.61805   0.7546    2.15      1.45      0.25      2         1         1         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         0         0         1         0         0         0         0         
RbCaH3    0.82      1.0       2.2       37        20        1         4.17713   6.11316   13.59843  0.48592   0.02455   0.7546    2.35      1.8       0.25      1         2         1         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         0         0         0         1         0         0         0         0         
La3InC    1.78      2.55      1.1       49        6         57        5.78636   11.26029  5.5769    0.38393   1.26211   0.55755   1.55      0.7       1.95      3         4         3         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         2         0         0         2         0         1         0         0         
RbCaF3    0.82      1.0       3.98      37        20        9         4.17713   6.11316   17.42282  0.48592   0.02455   3.40119   2.35      1.8       0.5       1         2         7         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         0         0         0         2         5         0         0         0         
YbBRh3    1.1       2.04      2.28      70        5         45        6.25416   8.29802   7.4589    -0.02     0.27972   1.14289   1.75      0.85      1.35      3         3         9         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         1         0         0         1         0         8         0         0         
CsHgBr3   0.79      2.0       2.96      55        80        35        3.89391   10.4375   11.81381  0.47163   -0.52     3.36359   2.6       1.5       1.15      1         12        7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         10        14        2         5         10        0         0         
Ca3SnO    1.96      3.44      1.0       50        8         20        7.34392   13.61806  6.11316   1.11207   1.46111   0.02455   1.45      0.6       1.8       4         6         2         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         4         0         0         2         0         0         0         1         
Dy3TlC    2.55      1.62      1.22      6         81        66        11.26029  6.10829   5.93905   1.26211   0.32005   0.352     0.7       1.9       1.75      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        14        2         0         0         10        1         
HfPbO3    2.33      1.3       3.44      82        72        8         7.41668   6.82507   13.61806  0.35672   0.17807   1.46111   1.8       1.55      0.6       4         4         6         2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         2         14        2         4         0         0         0         
Sc3AlC    1.61      2.55      1.36      13        6         21        5.98577   11.26029  6.56149   0.43284   1.26211   0.1882    1.25      0.7       1.6       3         4         3         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         2         0         0         2         0         1         0         0         
CsPbBr3   0.79      2.33      2.96      55        82        35        3.89391   7.41668   11.81381  0.47163   0.35672   3.36359   2.6       1.8       1.15      1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        14        2         5         10        0         0         
BaCeO3    0.89      1.12      3.44      56        58        8         5.21166   5.5386    13.61806  0.14463   0.572     1.46111   2.15      1.85      0.6       2         3         6         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         1         1         2         4         0         0         0         
CuNi3N    1.9       3.04      1.91      29        7         28        7.72638   14.53413  7.63988   1.23578   -0.07     1.15716   1.35      0.65      1.35      11        5         10        2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         3         0         0         2         0         8         0         0         
InBiO3    2.02      1.78      3.44      83        49        8         7.28552   5.78636   13.61806  0.94236   0.38393   1.46111   1.6       1.55      0.6       5         3         6         1.997     1.997     1.997     2.14      2.14      2.14      2         3         10        14        2         1         10        0         2         4         0         0         0         
TlIO3     1.62      2.66      3.44      81        53        8         6.10829   10.45126  13.61806  0.32005   3.05905   1.46111   1.9       1.4       0.6       3         7         6         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         5         10        0         2         4         0         0         1         
SrSnO3    0.95      1.96      3.44      38        50        8         5.69487   7.34392   13.61806  0.05207   1.11207   1.46111   2.0       1.45      0.6       2         4         6         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         2         10        0         2         4         0         0         0         
CsYbBr3   0.79      1.1       2.96      55        70        35        3.89391   6.25416   11.81381  0.47163   -0.02     3.36359   2.6       1.75      1.15      1         3         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         0         14        2         5         10        0         0         
Er3AlC    1.61      2.55      1.24      13        6         68        5.98577   11.26029  6.1077    0.43284   1.26211   0.312     1.25      0.7       1.75      3         4         3         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         2         0         0         2         0         0         12        0         
Tm3AlC    2.55      1.61      1.25      6         13        69        11.26029  5.98577   6.18431   1.26211   0.43284   1.02922   0.7       1.25      1.75      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         0         0         2         0         0         13        0         
BaPbO3    2.33      0.89      3.44      82        56        8         7.41668   5.21166   13.61806  0.35672   0.14463   1.46111   1.8       2.15      0.6       4         2         6         2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         0         0         2         4         0         0         0         
Ag3SI     2.66      2.58      1.93      53        16        47        10.45126  10.36001  7.57623   3.05905   2.0771    1.30447   1.4       1.0       1.6       7         6         11        1.585     1.585     1.585     2.76      2.76      2.76      2         5         10        0         2         4         0         0         1         0         10        0         0         
RbGeI3    0.82      2.01      2.66      37        32        53        4.17713   7.89944   10.45126  0.48592   1.23268   3.05905   2.35      1.25      1.4       1         4         7         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         2         10        0         2         5         10        0         0         
BaLiH3    0.98      0.89      2.2       3         56        1         5.39171   5.21166   13.59843  0.61805   0.14463   0.7546    1.45      2.15      0.25      1         2         1         1.61      1.61      1.61      0.90      0.90      0.90      1         0         0         0         2         0         0         0         1         0         0         0         0         
CsCdBr3   0.79      1.69      2.96      55        48        35        3.89391   8.99382   11.81381  0.47163   -0.72     3.36359   2.6       1.55      1.15      1         12        7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         10        0         2         5         10        0         0         
Tb3AlC    1.61      2.55      1.1       13        6         65        5.98577   11.26029  5.8638    0.43284   1.26211   0.13132   1.25      0.7       1.75      3         4         3         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         2         0         0         2         0         0         9         0         
Cr3GaN    1.81      3.04      1.66      31        7         24        5.9993    14.53413  6.76651   0.3012    -0.07     0.67584   1.3       0.65      1.4       3         5         6         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         3         0         0         1         0         5         0         0         
ScIr3C    2.55      1.36      2.2       6         21        77        11.26029  6.56149   8.96702   1.26211   0.1882    1.56436   0.7       1.6       1.35      4         3         9         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         0         1         0         2         0         7         14        0         
KMgH3     1.31      0.82      2.2       12        19        1         7.64624   4.34066   13.59843  -0.42     0.50146   0.7546    1.5       2.2       0.25      2         1         1         2.03      2.03      2.03      1.31      1.31      1.31      2         0         0         0         1         0         0         0         1         0         0         0         0         
Nd3AlC    1.61      2.55      1.14      13        6         60        5.98577   11.26029  5.525     0.43284   1.26211   0.09749   1.25      0.7       1.85      3         4         3         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         2         0         0         2         0         0         4         0         
Nd3GaC    2.55      1.81      1.14      6         31        60        11.26029  5.9993    5.525     1.26211   0.3012    0.09749   0.7       1.3       1.85      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        0         2         0         0         4         1         
SrAlH3    1.61      0.95      2.2       13        38        1         5.98577   5.69487   13.59843  0.43284   0.05207   0.7546    1.25      2.0       0.25      3         2         1         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         0         0         0         1         0         0         0         0         
TlHPd3    1.62      2.2       2.2       81        1         46        6.10829   13.59843  8.33684   0.32005   0.7546    0.56214   1.9       0.25      1.4       3         1         10        2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        1         0         0         0         0         0         10        0         1         
CsPbF3    0.79      2.33      3.98      55        82        9         3.89391   7.41668   17.42282  0.47163   0.35672   3.40119   2.6       1.8       0.5       1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        14        2         5         0         0         0         
